Id,LotArea,OverallQual,YearBuilt,GrLivArea,GarageCars,TotalBsmtSF,SalePrice
1,9270,2,1950,3523,2,1300,604616.7813095134
2,2860,3,1938,1209,3,725,502477.3833358039
3,7390,1,1950,1723,0,1243,521253.96968906507
4,7191,8,1969,3013,1,1928,718218.3201659486
5,13964,3,1905,1612,3,1049,549081.2205410633
6,13284,7,1966,1791,3,520,638400.2962783783
7,7734,5,1906,988,3,1806,561195.5852646924
8,8265,5,1950,2061,1,9,586090.4024468933
9,2466,7,1971,546,3,983,594980.3711324121
10,6426,9,1941,3859,1,377,776064.679658427
11,7578,5,1963,1277,3,1656,569222.3259528652
12,13636,1,2015,1539,1,1660,492340.7607035519
13,13363,1,1914,1210,2,681,502543.98709190235
14,13111,2,2010,900,2,583,505942.800914174
15,10322,6,1928,2317,2,151,625829.5914147022
16,3685,9,1932,3528,2,719,755389.8739662096
17,2769,8,2015,3657,2,1072,745638.1182658678
18,12583,5,1993,749,3,1177,564706.3283867617
19,8949,1,2002,890,3,858,511532.56615328934
20,4433,7,1926,834,3,1316,596346.5866481147
21,7311,5,1935,1128,1,1603,600672.6688735076
22,7051,6,1928,636,1,49,555827.19136098
23,8420,7,1937,3430,1,663,713499.0889568443
24,3184,3,1956,3235,1,530,604783.9573806839
25,6555,3,1996,2021,2,1635,575479.3310631467
26,5385,5,2000,1326,2,1083,570719.7231393262
27,14309,6,1926,1226,2,1190,543187.0954319176
28,8396,9,1954,2000,0,1225,690285.2444425762
29,13096,5,1932,3141,3,856,663220.9888889954
30,10666,1,1967,3794,1,145,597891.9985133338
31,11274,4,1985,1489,1,914,565661.4006791693
32,4558,5,1965,2919,2,1699,669199.9910444303
33,9849,5,1909,1434,1,1993,557084.5033418745
34,4047,7,1904,3542,1,992,707847.9666478196
35,4747,4,2022,901,3,1462,574373.7481462881
36,11167,1,1973,1966,2,241,525696.1281078011
37,11998,5,1996,1114,3,580,590946.6748352667
38,2189,7,2017,1796,0,686,600015.107632217
39,4734,6,1937,1682,0,1584,566673.620031445
40,5005,5,1912,3723,0,482,680660.795561608
41,6658,4,1930,3542,2,1131,637228.8272166541
42,3899,2,1946,3167,1,1249,602232.750942266
43,9734,4,1999,2735,2,672,633610.0243560586
44,3267,3,2008,1621,2,630,555360.6547495954
45,3528,1,1987,630,1,660,442330.7446206454
46,13394,8,1951,3352,3,661,765986.8003621075
47,5556,5,1955,1694,0,1455,610297.8230903967
48,5890,4,1914,3483,3,804,672953.8432520039
49,10838,8,1928,3533,0,1678,728699.8143134563
50,13080,7,1907,682,2,418,561853.3874028501
51,7393,2,1904,3530,0,987,573378.0553635124
52,12627,1,1928,863,2,1478,467955.2219038765
53,10792,4,1946,538,3,1183,506625.0070408385
54,12555,8,1967,3044,2,1546,690147.7974336835
55,12253,2,1975,1872,3,649,574668.9162473116
56,10433,3,1944,3529,1,968,652293.3357650366
57,12233,1,1901,1420,1,589,464023.2245409381
58,13016,1,1926,3968,1,1100,618479.2864255849
59,9513,3,1994,3269,2,508,662289.0453558353
60,4612,5,2014,3732,1,440,703500.5337412376
61,9041,3,2014,515,0,1277,464686.90707802534
62,11555,1,1935,992,3,920,481942.13173525804
63,8235,1,1935,1949,3,769,560986.1884008398
64,7486,8,1925,1631,0,1343,631490.5328721022
65,9099,2,1942,3441,2,1826,631232.6420636561
66,11670,3,1926,810,2,262,512532.58438738226
67,12748,2,1968,1238,3,1620,508389.7728404349
68,2775,3,1919,3741,1,1681,628433.0956143471
69,14206,7,1910,1045,2,1858,601027.3031410348
70,10226,1,1973,2961,2,1577,598987.4356004081
71,5152,8,2003,750,0,1397,620098.0990183577
72,12147,2,1937,1258,0,636,473137.88910463615
73,3585,3,1905,2304,1,1190,574862.4106935438
74,5943,9,1971,3712,2,1960,803540.8822343795
75,9555,7,1922,1797,2,1776,614508.3645942395
76,5073,4,1946,3987,0,458,698284.9427159955
77,3021,5,1989,2131,2,998,657128.8165468838
78,13653,2,1945,2414,3,1303,632201.7267924332
79,12805,8,2006,3610,0,699,746318.6688165999
80,5843,4,1911,1313,1,301,542578.493525249
81,9989,9,1989,528,0,1554,620739.8877823463
82,11692,5,1912,1457,2,1603,591206.0534609883
83,14990,9,2003,2532,1,1241,739727.3372199121
84,8873,4,1961,976,0,1125,536680.663609302
85,7675,5,1981,817,3,553,564928.7618192392
86,2161,9,1988,744,3,287,669239.94241947
87,6297,8,1996,1247,0,1190,600124.9170061455
88,12173,3,2010,1196,3,620,551917.0467345075
89,2995,1,2003,771,3,1005,520424.712320996
90,13534,3,1959,2271,3,35,570345.0700375936
91,14743,4,1942,1762,1,743,552950.4868600568
